codcfo,valorm2
00003192,21.030000
00003222,21.160000
00003231,22.220000
00003199,22.220000
00004433,22.250000
00003337,22.460000
00003356,22.740000
00003338,22.830000
00003229,23.040000
00003305,23.900000
00003221,24.400000
00003143,25.450000
00003041,25.640000
00003160,25.770000
00003146,25.780000
00003161,25.920000
00003043,26.350000
00003162,26.530000
00003135,27.360000
00003137,27.360000
00003140,27.360000
00003191,28.270000
00003312,28.490000
00003147,28.570000
00003149,28.570000
00003362,28.570000
00003336,28.720000
00003224,29.630000
00003225,29.630000
00003219,29.800000
00003332,31.770000
00003236,31.910000
00003217,32.180000
00003364,32.360000
00003369,32.500000
00003213,32.520000
00003340,32.680000
00003131,32.840000
00003381,33.260000
00003380,33.290000
00003368,33.330000
00003365,33.330000
00003363,33.330000
00003358,33.330000
00003360,33.330000
00003361,33.330000
00003198,33.330000
00003194,33.330000
00003189,33.330000
00003190,33.330000
00003166,33.330000
00003170,33.330000
00003173,33.330000
00003174,33.330000
00003342,33.330000
00003345,33.330000
00003346,33.330000
00003347,33.330000
00003339,33.330000
00003288,33.330000
00003291,33.330000
00003203,33.330000
00003207,33.330000
00003209,33.330000
00003211,33.330000
00003272,33.330000
00003269,33.330000
00003276,33.330000
00004722,33.330000
00003142,33.350000
00003169,34.360000
00003293,34.470000
00003330,35.120000
00005144,37.170000
00003306,37.290000
00003319,37.770000
00003196,37.780000
00003311,38.390000
00003009,40.000000
00003327,40.370000
00003324,41.590000
00003386,41.930000
00003006,42.240000
00003391,42.600000
00001490,43.330000
00003090,44.000000
00000514,44.370000
00003024,44.440000
00003167,44.440000
00003130,44.440000
00003208,44.440000
00005174,44.440000
00005196,44.440000
00005200,44.450000
00002435,45.390000
00003193,45.560000
00003136,45.600000
00003216,46.630000
00003008,47.620000
00003164,48.890000
00003397,50.000000
00003379,50.000000
00003152,50.790000
00013961,51.500000
00008865,51.850000
00011134,51.850000
00003735,51.850000
00001466,51.850000
00001477,51.850000
00001406,51.850000
00017203,51.850000
00001408,51.870000
00022241,51.880000
00005267,52.140000
00003044,52.330000
00003321,52.760000
00003029,53.330000
00003158,53.770000
00003367,54.220000
00001479,55.560000
00001483,55.560000
00001788,55.590000
00003153,56.580000
00003204,56.580000
00001372,56.660000
00005269,56.950000
00005057,57.120000
00003148,57.140000
00003256,57.330000
00003016,57.650000
00003218,58.620000
00000504,58.720000
00003647,59.000000
00003035,59.260000
00017105,59.260000
00019687,59.260000
00001468,59.310000
00000252,60.410000
00003181,60.540000
00001397,61.220000
00005296,61.780000
00003822,62.150000
00003220,62.180000
00003341,62.260000
00013816,62.960000
00000512,63.610000
00003138,63.840000
00003027,63.940000
00001396,64.010000
00003354,64.510000
00005299,64.570000
00005518,64.770000
00005256,65.740000
00024411,66.010000
00001471,66.040000
00005252,66.050000
00001374,66.060000
00001362,66.230000
00005360,66.330000
00013039,66.510000
00003025,66.530000
00003817,66.650000
00003010,66.670000
00003168,66.670000
00003201,66.670000
00003212,66.670000
00003227,66.670000
00004728,66.670000
00001405,66.670000
00000901,66.670000
00000540,66.670000
00014915,66.670000
00025100,66.670000
00025156,66.670000
00020572,66.670000
00001326,66.790000
00005264,67.070000
00003039,67.150000
00025375,67.550000
00005253,68.100000
00002960,68.120000
00003012,68.370000
00004940,68.570000
00000533,68.570000
00003040,69.270000
00003028,69.980000
00001337,70.340000
00001358,70.680000
00020998,70.680000
00003088,70.890000
00003351,71.110000
00003007,71.220000
00002064,71.450000
00001342,71.590000
00002831,71.780000
00000545,71.800000
00000577,72.080000
00000457,72.210000
00000895,72.340000
00000549,72.380000
00000550,72.380000
00000552,72.380000
00000539,72.380000
00003045,72.380000
00013838,72.380000
00010988,72.380000
00009018,72.560000
00006624,72.720000
00001147,72.970000
00003267,73.030000
00003323,73.310000
00003226,73.560000
00000517,73.720000
00000616,74.140000
00001382,74.610000
00003273,75.000000
00001377,75.110000
00018342,75.120000
00016566,75.470000
00023863,76.090000
00001321,76.090000
00000536,76.190000
00000537,76.190000
00005613,76.190000
00005298,76.350000
00024316,76.670000
00000505,76.720000
00000621,76.970000
00001472,77.040000
00003179,77.090000
00024173,77.090000
00000506,77.390000
00000565,77.570000
00024072,77.570000
00001360,77.760000
00001376,77.780000
00001387,77.780000
00005205,77.780000
00009131,77.780000
00001407,77.860000
00000516,78.370000
00003165,78.520000
00003032,78.530000
00003150,78.670000
00002950,78.850000
00003308,79.130000
00006881,79.660000
00000567,79.660000
00000564,79.660000
00005249,79.690000
00005248,79.780000
00005272,80.000000
00005035,80.000000
00003051,80.000000
00003359,80.000000
00000614,80.000000
00000780,80.000000
00018223,80.000000
00024336,80.180000
00000624,80.230000
00003052,80.650000
00003177,80.660000
00003232,81.030000
00001388,81.300000
00001306,81.500000
00008860,81.900000
00000716,82.020000
00008926,82.150000
00003159,82.160000
00000253,82.220000
00003237,82.460000
00000507,82.470000
00004387,82.600000
00013810,83.240000
00005037,83.330000
00005038,83.330000
00003244,83.330000
00003278,83.330000
00003279,83.330000
00003281,83.330000
00003050,83.330000
00000310,83.330000
00000830,83.490000
00000459,83.590000
00021896,83.750000
00003163,83.780000
00003235,83.820000
00000618,83.840000
00003234,83.880000
00000617,84.150000
00003195,84.190000
00003067,84.440000
00003063,84.440000
00003085,84.440000
00003086,84.440000
00003046,84.440000
00003366,84.440000
00005460,84.440000
00000578,84.440000
00000526,84.440000
00000529,84.440000
00000530,84.440000
00000555,84.440000
00000557,84.440000
00000542,84.440000
00000544,84.440000
00014600,84.440000
00023405,84.440000
00019078,84.440000
00000573,84.470000
00025958,84.550000
00000515,84.640000
00015920,84.710000
00017753,84.710000
00003004,84.790000
00001400,85.160000
00003268,85.330000
00000001,85.400000
00000519,85.470000
00016716,85.470000
00000604,85.480000
00003242,85.670000
00000541,85.710000
00000603,85.790000
00005265,86.010000
00005266,86.010000
00021914,86.090000
00003082,86.120000
00005047,86.130000
00003068,86.180000
00000971,86.190000
00004072,86.270000
00004771,86.270000
00004889,86.270000
00004429,86.270000
00004491,86.270000
00003239,86.290000
00004211,86.470000
00004207,86.470000
00004624,86.470000
00005600,86.470000
00014505,86.470000
00017104,86.470000
00000846,86.480000
00003053,86.520000
00000829,86.600000
00003060,86.670000
00003248,86.670000
00003250,86.670000
00003255,86.670000
00003271,86.670000
00003292,86.670000
00003289,86.670000
00003700,86.670000
